bucket_lo,bucket_hi,n,pc0,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11
-4.5,-4.25,126,22.906,-4.99687,-1.79761,-1.50877,1.139,-2.44112,1.36142,-0.838564,0.126295,0.66417,-0.969296,1.49751
-4.25,-4,299,22.7546,-5.48366,-1.60874,-1.31607,0.973529,-2.43804,1.1827,-0.863084,0.13569,0.749787,-0.747164,1.3615
-4,-3.75,750,23.567,-5.98266,-1.7543,-1.32884,0.545959,-2.44225,1.44578,-1.0726,0.0849987,0.680153,-0.749419,1.01578
-3.75,-3.5,1671,24.1884,-7.0845,-1.84229,-1.31967,0.917712,-2.4731,1.05557,-1.2719,-0.0659941,0.554515,-0.718783,0.893414
-3.5,-3.25,3023,25.6563,-7.02748,-1.87801,-1.02488,1.19171,-2.26024,0.925536,-1.08198,-0.342798,0.364625,-0.603521,0.752333
-3.25,-3,5000,27.94,-7.87529,-1.63833,-0.631731,1.35727,-2.33669,0.997367,-1.11005,-0.296258,0.210015,-0.520172,0.524928
-3,-2.75,5000,29.8992,-9.14926,-1.50373,-0.414635,1.65743,-2.62306,0.806829,-1.314,-0.224734,-0.177609,-0.415399,0.296912
-2.75,-2.5,5000,30.9973,-8.7797,-1.28953,-0.112781,1.76288,-2.27581,0.921697,-1.0554,-0.273447,-0.0633138,-0.324815,0.257448
-2.5,-2.25,5000,30.0636,-8.06857,-1.16453,-0.123976,1.79286,-2.03016,0.960473,-0.891603,-0.37759,-0.0126609,-0.333082,0.344169
-2.25,-2,5000,28.186,-7.47226,-1.00896,-0.358598,1.80673,-2.01581,0.994917,-0.814752,-0.511376,-0.127437,-0.387148,0.542547
-2,-1.75,5000,27.4033,-7.01874,-0.988183,-0.549069,1.70072,-1.91539,1.10143,-0.696433,-0.625111,-0.185649,-0.428284,0.515152
-1.75,-1.5,5000,25.9379,-6.55103,-1.08529,-0.869917,1.91184,-1.84474,0.97931,-0.482957,-0.682786,-0.167307,-0.543489,0.659476
-1.5,-1.25,4998,24.51,-6.13894,-1.23377,-1.14449,2.02574,-1.72817,0.919919,-0.274593,-0.744777,-0.0921094,-0.622306,0.779313
-1.25,-1,5000,22.355,-6.03942,-1.23734,-1.31113,2.03071,-1.7065,0.749174,-0.0638414,-0.59845,0.0538462,-0.601615,0.779149
-1,-0.75,5000,19.9851,-6.92583,-1.13125,-1.18645,1.85924,-1.89893,0.580498,-0.211777,-0.217792,0.112581,-0.598034,0.743207
-0.75,-0.5,5000,17.4707,-7.16803,-1.14992,-1.16672,1.77689,-1.9696,0.565144,-0.428156,-0.223995,0.0983909,-0.479335,0.553277
-0.5,-0.25,5000,15.4686,-7.24636,-1.42119,-1.15219,1.69566,-2.29239,0.650617,-0.69284,-0.482925,-0.184418,-0.249792,0.361994
-0.25,0,5000,14.8696,-6.22316,-1.3307,-0.968017,1.53945,-2.40379,1.00867,-0.796485,-0.754479,-0.413446,-0.112846,0.277428
0,0.25,5000,14.1784,-5.37698,-0.724829,-1.72589,0.84624,-2.56655,1.39496,-0.769443,-0.814078,-0.474841,0.0539628,0.316448
0.25,0.5,2093,13.5627,-4.71008,-0.945868,-1.50223,1.81015,-2.32207,0.970421,-0.648296,-1.0087,0.0912791,0.00827806,0.779359
0.5,0.75,1092,12.3084,-5.15159,-1.31094,-1.68221,2.2505,-2.31639,0.665475,-0.381675,-1.16988,0.203542,-0.298598,1.14115
0.75,1,759,13.7335,-5.8269,-1.00099,-1.85153,1.91257,-1.90678,0.658376,-0.0871349,-1.33452,-0.00389634,-0.279721,1.2673
1,1.25,650,13.7471,-6.31937,-0.50688,-2.44917,1.3782,-1.8637,0.577507,-0.206019,-1.63769,-0.176895,-0.414816,1.40263
1.25,1.5,409,13.2011,-5.94233,-0.54335,-2.01003,1.49158,-1.88553,0.454335,-0.322885,-1.52127,-0.0861407,-0.196525,1.45296
1.5,1.75,316,12.9326,-6.71238,-0.0793343,-1.94892,1.08245,-1.90435,0.418143,-0.385858,-1.5242,-0.23979,-0.315731,1.66951
1.75,2,274,13.0823,-6.99533,0.120016,-1.91064,0.336427,-1.60851,0.237331,-0.281106,-1.5261,-0.320324,-0.272898,1.69739
2,2.25,244,12.1835,-7.24649,0.346702,-1.78698,0.170256,-1.70421,0.152335,-0.451333,-1.66898,-0.387513,-0.156764,1.74613
2.25,2.5,195,12.4783,-6.51632,0.322253,-1.12068,0.636605,-1.66803,0.00200364,-0.422269,-1.41652,-0.067159,-0.0170931,1.73812
2.5,2.75,151,13.9405,-6.48919,0.421541,-0.485438,0.378806,-1.33317,0.107462,-0.520568,-1.57987,0.297678,0.074826,1.67842
2.75,3,111,12.1326,-6.76603,0.65071,-0.394938,-0.146748,-1.34269,-0.136245,-0.522182,-1.5396,0.495069,0.0327244,2.04903
3,3.25,117,11.9604,-6.91605,0.495329,-0.0491367,-0.562803,-1.10537,-0.285518,-0.791566,-1.2594,0.806014,0.379483,2.12808
3.25,3.5,99,11.3583,-7.14997,0.554687,0.0127643,-1.08881,-1.19562,-0.16506,-0.640123,-0.824733,1.09415,0.287547,2.52976
3.5,3.75,81,10.3563,-6.76209,0.453261,0.321463,-1.03162,-1.23778,-0.141512,-0.910785,-1.02607,1.27566,0.464402,2.41647
3.75,4,82,11.2012,-6.40808,0.389412,0.536447,-1.23993,-1.02851,0.00433223,-0.736058,-0.721234,1.43006,0.492999,2.70109
4,4.25,69,12.1621,-7.29823,0.276216,0.806087,-1.07046,-1.23038,-0.0889606,-0.632698,-0.519888,1.38437,0.408652,2.45928
4.25,4.5,53,11.0837,-6.96305,0.328499,0.903286,-1.70346,-1.30251,-0.154693,-0.630295,-0.204367,1.92341,0.393271,2.30338
4.5,4.75,35,9.94377,-5.58597,0.232753,0.870991,-1.46487,-0.887558,0.0726563,-0.458643,0.0056481,1.93759,0.237331,2.21755
