signature,n_space_groups,n_materials,example_sgs
a b c,24,99278,"R-3m, Fm-3m, P3m1, F-43m, Fmmm"
a c,19,9443,"Im-3m, Pm-3n, Pa-3, Fm-3m, Cmmm"
a b,19,5173,"R-3m, Fd-3m, I4_1/amd, Pmmn, Pm-3m"
2a 2b,17,175069,"P4mm, Pm, Imm2, Cmm2, Amm2"
3a,17,41447,"I4mm, Fmm2, Imm2, R3m, Cmc2_1"
a d,16,5926,"P-3m1, P6/mmm, P4/mmm, P-6m2, Fd-3m"
a b d,15,48742,"I4/mmm, Imm2, Fm-3m, Pm-3m, Fmmm"
a b c d,14,183376,"F-43m, I-4m2, Pmm2, I4cm, P4/mmm"
a,14,210,"Fd-3m, R-3m, Im-3m, P3_121, I4_1/amd"
a c e,13,92896,"F-43m, P4/mmm, R32, Fm-3m, P-6m2"
a c d,13,5849,"F-43m, P6_3/mmc, Pm-3m, R-3m, P6/mmm"
3a 3b,13,2021,"Amm2, P3m1, Pm, P4mm, Pmn2_1"
9a,13,82,"P1, P2_12_12_1, P2_1, Pc, Pna2_1"
4a,12,73714,"Cm, R3m, Pna2_1, I4mm, Pmn2_1"
a b h,12,20024,"P4/mmm, P-6m2, P6/mmm, Cmmm, I4_1/amd"
10a,12,162,"P1, Pc, Cm, R3m, I4mm"
a b 2c,12,117,"P4/nmm, C2, Pmm2, P31m, R-3m"
a e,11,7257,"I4/mmm, I4_1/amd, P4/mmm, R-3m, P-42_1c"
a d e,11,5370,"I4/mmm, F-43m, P-6m2, Fd-3m, P-43m"
6a,11,4917,"Cm, P1, P2_12_12_1, Cc, R3m"
a 2b,11,1454,"Fdd2, P6_3mc, R3, Cmc2_1, Amm2"
a f,11,1056,"P-6m2, P4_2/mnm, Cmce, R-3, P6_3/mmc"
8a,11,164,"P1, Cm, R3m, P2_12_12_1, Cc"
7a,11,135,"Cm, P1, R3m, P2_1, Pna2_1"
2a b,11,84,"R3m, R3c, Pmmn, P2_13, I2_13"
5a,11,83,"Cmc2_1, P2_1, P1, Pna2_1, Pmn2_1"
a b e,10,3011,"Pmmn, C2/m, I4/mmm, Cmmm, I4_1/amd"
4a 2b,10,109,"R3m, Cm, R3, Pmn2_1, I4mm"
15a,10,24,"P2_12_12_1, Pc, P3_2, Cm, P2_1"
a h,9,3654,"I4/mcm, I4/m, P-6m2, Immm, I4/mmm"
a i,9,3238,"Immm, Fmmm, C2/m, P-6m2, Cmmm"
a c g,9,3164,"P6/mmm, P-62m, P-4m2, Cmcm, Im-3"
a d f,9,2068,"P-6m2, P6/mmm, P-62m, I4_1/a, P-3m1"
2a,9,1096,"P2_13, Pmmn, R3m, I4mm, Cm"
c d,9,274,"P6_3/mmc, Pm-3m, P4_132, R-3m, Pbcn"
