cluster_i,cluster_k,epsilon
0,1,3.6146729726742735e-30
0,2,2.1329265184306877e-30
0,3,6.612732334759859e-30
0,4,6.323441844764989e-16
0,5,4.59500107689774e-16
0,6,3.92845900829975e-30
0,7,2.6206977069940233e-30
0,8,8.376892091592524e-30
0,9,4.313463504667378e-30
0,10,3.475474527442888e-30
0,11,2.585145432470621e-16
0,12,4.613475097424859e-30
0,13,2.516925767500719e-30
0,14,2.1474813422561032e-15
0,15,5.118933541237234e-16
0,16,2.4024491391783913e-30
0,17,3.829654302601768e-30
0,18,5.064663737817332e-30
0,19,3.316711224455579e-30
0,20,2.7969235797699494e-30
0,21,2.553555073148094e-30
0,22,2.2377262472554943e-30
0,23,2.0453411116555953e-30
0,24,2.2297660595617454e-30
0,25,4.0826673110591274e-30
0,26,3.881596410928412e-16
0,27,8.94845384982829e-16
0,28,2.270405593774995e-30
0,29,4.238143587160863e-30
0,30,5.436065107912045e-30
0,31,2.666400354815913e-16
0,32,1.9820756167954634e-30
0,33,1.3080955840884742e-30
0,34,3.5250169263874006e-30
0,35,5.509162208234909e-30
0,36,3.638949220745193e-16
0,37,4.4244804306486175e-30
0,38,1.2364490281124105e-15
0,39,3.0509860581632373e-30
0,40,1.6758490580502808e-30
0,41,3.1860450331063384e-30
0,42,3.621403678804348e-30
0,43,4.911565560965812e-16
0,44,6.804543126302099e-30
0,45,9.564468607658306e-30
0,46,3.516981917753709e-30
0,47,3.4870015706566396e-30
0,48,3.499887908613181e-16
0,49,4.9517741447558425e-30
1,2,4.007597589405502e-16
1,3,5.082843841661128e-16
1,4,6.901114729456667e-16
1,5,9.756981231944995e-16
1,6,2.8715033909562583e-30
1,7,1.9694366216767624e-30
1,8,2.7625164985271084e-16
1,9,5.696049335747275e-16
1,10,4.786647711735823e-30
1,11,7.059659300579287e-16
1,12,7.0929028712522745e-16
1,13,2.865324290551516e-30
1,14,1.6100644466652893e-15
1,15,1.1119820199445764e-15
1,16,3.588345531734102e-30
1,17,6.028467686982189e-16
1,18,7.442023085431962e-16
1,19,5.551268010467376e-16
1,20,4.954210810098014e-30
1,21,5.091117869824363e-16
1,22,2.364384258268247e-16
1,23,3.1427201551897207e-16
1,24,3.592205759202914e-16
1,25,2.118370128674573e-16
1,26,1.2268351421480763e-15
1,27,1.086207555008725e-15
1,28,5.649763684803656e-16
1,29,7.600560651125607e-16
1,30,9.8361063721992e-16
1,31,7.280954616646369e-16
1,32,3.6555728367812104e-30
1,33,5.020144078250468e-16
1,34,5.384655844509671e-16
1,35,3.076188617611929e-16
1,36,1.3399115633574956e-15
1,37,7.684140075951657e-16
1,38,2.2501249264145115e-15
1,39,7.015562856217986e-16
1,40,5.376941490802005e-16
1,41,6.645404843132219e-16
1,42,4.289367034522441e-16
1,43,6.320307074745036e-16
1,44,9.284910509870445e-16
1,45,1.305941589503228e-15
1,46,5.326452567996236e-16
1,47,8.649940783603921e-16
1,48,1.1180903910267178e-15
1,49,3.408191555512111e-16
2,3,2.6724631284212777e-16
2,4,8.714771471334623e-16
2,5,9.254899336459609e-16
2,6,1.6687859814769864e-30
2,7,1.548416614103214e-30
2,8,4.7294555889570996e-30
2,9,7.909383681004441e-16
2,10,1.7349302552766828e-30
2,11,4.853764733097903e-16
2,12,1.7225389756255127e-16
2,13,1.7271961478412454e-30
2,14,9.440002314122576e-16
2,15,6.633003927704973e-16
2,16,1.5411329568253001e-30
2,17,5.174782068940977e-24
2,18,4.2495742241228885e-16
2,19,1.7835747110574874e-30
2,20,2.540246228540538e-30
2,21,1.977047045890404e-30
2,22,2.1261876025456826e-30
2,23,1.605586722136117e-30
2,24,1.5526851188395925e-30
2,25,1.879281541884968e-30
2,26,1.1288583592486022e-15
2,27,1.1955541664794661e-15
2,28,1.9004081295385897e-30
2,29,4.550808693708453e-16
2,30,2.448165120885116e-30
2,31,4.457192976466466e-16
2,32,1.6456562150291228e-30
2,33,1.4022410822109552e-30
2,34,7.108319993924914e-28
2,35,2.347707526387214e-30
2,36,6.131406297185776e-16
2,37,1.8200959526381948e-30
2,38,6.694831741637036e-16
2,39,2.136822418080772e-30
2,40,8.847783424989211e-27
2,41,3.110347783945246e-16
2,42,1.8201999353754032e-30
2,43,6.294345586991228e-16
2,44,5.073139414105279e-16
2,45,3.9704912060344617e-16
2,46,2.1331832365684994e-30
2,47,2.0196554772617904e-30
2,48,1.8864706321722215e-15
2,49,2.9423828156611108e-30
3,4,6.185694454090308e-16
3,5,1.1974251374239521e-15
3,6,4.4043556013915464e-30
3,7,3.7931110134939765e-30
3,8,1.6251406688011464e-16
3,9,1.8113682138874447e-23
3,10,1.0910215608094054e-29
3,11,6.616901664373427e-16
3,12,9.816757083247077e-16
3,13,4.254381215512997e-30
3,14,1.2707778453177647e-15
3,15,9.576804861964688e-16
3,16,7.021185258214113e-30
3,17,4.743828946674969e-16
3,18,6.478976233827267e-16
3,19,5.782705920224065e-16
3,20,1.0914356185396627e-29
3,21,3.1967288783454013e-16
3,22,4.37318902721194e-30
3,23,8.189248981707599e-30
3,24,9.063558964570455e-30
3,25,1.0416558158492326e-29
3,26,1.079216911993929e-15
3,27,1.7043022934640976e-15
3,28,5.8384822553204996e-30
3,29,2.3761781765345603e-16
3,30,4.706186846897734e-16
3,31,7.075989217752161e-16
3,32,7.181805310724291e-30
3,33,4.9615278711865014e-30
3,34,3.069199411813025e-16
3,35,1.7630300837722906e-16
3,36,1.2953865951605122e-15
3,37,5.6163552066138e-16
3,38,5.256144646453147e-15
3,39,4.947370550639289e-16
3,40,6.5668368374772486e-24
3,41,2.831055310493061e-23
3,42,2.813609714252688e-16
3,43,1.4478470722739253e-15
3,44,1.6513678469373424e-16
3,45,1.0340963911560378e-15
3,46,1.9558009507874735e-16
3,47,3.5421188630055676e-16
3,48,7.025541711253022e-16
3,49,4.275288045512262e-30
4,5,1.3822176494231749e-15
4,6,5.416193590458345e-16
4,7,1.955857446758113e-16
4,8,5.83785355007708e-16
4,9,6.128025773575337e-16
4,10,5.791935157271751e-16
4,11,1.2398546682673715e-15
4,12,9.923082049208795e-16
4,13,1.2719202621569e-16
4,14,2.0978338697390496e-15
4,15,1.018361025771436e-15
4,16,2.309698004076413e-16
4,17,6.137887081716946e-16
4,18,1.2745770326900627e-15
4,19,5.149984514076739e-16
4,20,7.579054314198108e-16
4,21,4.957562300777326e-16
4,22,5.927275268804253e-16
4,23,6.539839921189324e-16
4,24,9.188272025709179e-16
4,25,6.0064534197173245e-16
4,26,1.2116185806998985e-15
4,27,6.0726676779741616e-15
4,28,9.108206868230455e-16
4,29,7.845049652057863e-16
4,30,8.857297660662378e-16
4,31,1.5930810746693618e-15
4,32,3.738842227770437e-16
4,33,6.787715219609126e-16
4,34,7.1751316939759e-16
4,35,6.045705751501116e-16
4,36,1.4324695880607413e-15
4,37,7.342727175294205e-16
4,38,2.8234100528916377e-15
4,39,9.520578225551963e-16
4,40,8.254168354437038e-16
4,41,8.52289009405845e-16
4,42,3.6235379666646257e-16
4,43,1.0434975651399902e-15
4,44,8.492379327802243e-16
4,45,7.432200973145325e-16
4,46,8.68704242354973e-16
4,47,6.355157737747669e-16
4,48,1.434895110325055e-15
4,49,6.472634666306767e-16
5,6,8.326601305593894e-16
5,7,8.686167697988862e-16
5,8,5.240463804580304e-16
5,9,9.579961870668784e-16
5,10,6.398631479608484e-16
5,11,1.4863921788093433e-15
5,12,1.0808715820424943e-15
5,13,2.0014830212433573e-16
5,14,2.5550358243016397e-15
5,15,1.5922802447117316e-15
5,16,8.205810482861453e-16
5,17,1.136429981558403e-15
5,18,1.277438400720684e-15
5,19,9.835964451629115e-16
5,20,5.89156638939137e-16
5,21,1.1429070842966662e-15
5,22,4.373139011710901e-16
5,23,5.89859286682764e-16
5,24,1.6041440427561987e-15
5,25,9.86947588843829e-16
5,26,1.1995203461881225e-15
5,27,4.244430850215092e-15
5,28,5.094580650982213e-16
5,29,1.5805510571650197e-15
5,30,1.2575911235936998e-15
5,31,1.780386054041927e-15
5,32,2.0170589995134072e-16
5,33,1.0350613831631199e-15
5,34,8.037534771926486e-16
5,35,7.036863407618699e-16
5,36,1.4603414782855318e-15
5,37,9.801117893896527e-16
5,38,3.1429131394259832e-15
5,39,1.1586852756688266e-15
5,40,1.3072004119935613e-15
5,41,6.737632882336e-16
5,42,7.164996584016298e-16
5,43,1.182336310614476e-15
5,44,1.060182260755746e-15
5,45,2.352382470592403e-15
5,46,1.0477768053924664e-15
5,47,1.0128519649164087e-15
5,48,1.701380158108842e-15
5,49,6.953982259979249e-16
6,7,2.2448925800563343e-30
6,8,5.471916204038685e-30
6,9,3.104814114515857e-30
6,10,2.5968518319438637e-30
6,11,6.436205911832242e-16
6,12,3.767512232877949e-30
6,13,2.1172435109371468e-30
6,14,1.850350304826887e-15
6,15,3.887716179415163e-16
6,16,1.959963924142407e-30
6,17,3.413314878002111e-30
6,18,4.879350524006417e-30
6,19,3.0737540379955783e-30
6,20,2.1173437188669616e-30
6,21,2.113221495477493e-30
6,22,1.9674562059808763e-30
6,23,1.6043690682071937e-30
6,24,1.794371425699993e-30
6,25,3.2745622300512106e-30
6,26,6.907969957340441e-16
6,27,3.0118816319068224e-16
6,28,1.9559229761107145e-30
6,29,3.6387397518383556e-30
6,30,4.949439715495155e-30
6,31,5.041961182349062e-16
6,32,1.5109189680699516e-30
6,33,1.2527086502217013e-30
6,34,2.2213644296323352e-30
6,35,4.990043150544978e-30
6,36,1.1679841397542203e-15
6,37,3.991680483807003e-30
6,38,7.296560439329432e-16
6,39,2.781972179549867e-30
6,40,1.8666779554057585e-30
6,41,2.5422691967128148e-30
6,42,3.224097815315443e-30
6,43,3.17687740821134e-16
6,44,5.807223349545513e-30
6,45,8.156213338911617e-30
6,46,2.8384127291849027e-30
6,47,2.9663298427585397e-30
6,48,6.953797198844474e-16
6,49,4.279113799863635e-30
7,8,4.7003487476928534e-30
7,9,1.9697141597817836e-30
7,10,1.6961239963789554e-30
7,11,4.982562912224237e-16
7,12,2.540159962100491e-30
7,13,1.4510190280724812e-30
7,14,1.2063200353212258e-15
7,15,3.8820616932661527e-16
7,16,9.867576057170054e-31
7,17,2.3585675132727522e-30
7,18,2.6761179151198194e-30
7,19,1.8695521919820468e-30
7,20,1.8532697495473178e-30
7,21,1.5817173264250176e-30
7,22,1.2975004762151423e-30
7,23,1.0202318138582347e-30
7,24,1.4713341300526438e-30
7,25,1.83143337679378e-30
7,26,2.1899466861268666e-16
7,27,1.0005253565803626e-16
7,28,1.4318733831100666e-30
7,29,2.346745177032e-30
7,30,3.231544199318048e-30
7,31,6.022382054953159e-30
7,32,9.435251345218524e-31
7,33,9.6518097100867e-31
7,34,1.7523420271862414e-30
7,35,3.154677776457992e-30
7,36,7.95850001966691e-16
7,37,2.4619295665077327e-30
7,38,5.894793552076838e-16
7,39,1.7022990196008148e-30
7,40,1.0267039578433956e-30
7,41,1.8168928307327657e-30
7,42,2.156986431207196e-30
7,43,2.487697572999242e-16
7,44,3.540241230706475e-30
7,45,5.763851413516643e-30
7,46,1.854727973102251e-30
7,47,2.1172172086238624e-30
7,48,6.639289955389335e-16
7,49,2.6249946517853497e-30
8,9,8.637885557533376e-24
8,10,1.3694790564867707e-29
8,11,3.8968102421686215e-16
8,12,1.0089369441277923e-23
8,13,4.3983929431720104e-30
8,14,1.6346103344246331e-15
8,15,8.420970285681929e-16
8,16,8.765127309647686e-30
8,17,1.5137131938659457e-29
8,18,5.663258206736527e-16
8,19,8.415004618954635e-30
8,20,1.4151050563859646e-29
8,21,5.761840963163228e-30
8,22,5.279154433944741e-30
8,23,1.0426495886082502e-29
8,24,1.0997630239431356e-29
8,25,1.3209583050087113e-29
8,26,2.871897454095163e-16
8,27,7.318045660952047e-16
8,28,6.690007931750817e-30
8,29,1.326081520271396e-23
8,30,2.116980997447664e-24
8,31,8.428412239918941e-16
8,32,9.308800292180115e-30
8,33,6.383635482143279e-30
8,34,3.905361277623349e-24
8,35,1.1518131105562464e-29
8,36,9.390654248785193e-16
8,37,4.7743382320995295e-30
8,38,6.743582613103594e-15
8,39,1.101629919812321e-29
8,40,1.284657703639283e-23
8,41,1.241008311342844e-23
8,42,6.93917438660616e-30
8,43,1.1184460623890755e-15
8,44,6.966993822129758e-16
8,45,1.783890521501887e-16
8,46,1.2971316660175932e-29
8,47,7.264620127905521e-30
8,48,1.079511394325528e-15
8,49,5.397778868173216e-30
9,10,6.942742667884529e-30
9,11,7.27105520977468e-16
9,12,3.3718410411913986e-16
9,13,2.4524900466153568e-30
9,14,1.5776107169015337e-15
9,15,7.167326569083053e-16
9,16,4.808203747528654e-30
9,17,5.113560900287835e-16
9,18,4.80097895006526e-16
9,19,5.100662402109555e-16
9,20,6.308626522180199e-30
9,21,2.4352619719220445e-30
9,22,2.4600219694280922e-30
9,23,4.838297846218269e-30
9,24,5.032067056803017e-30
9,25,7.025491187276104e-30
9,26,3.2365031147196286e-16
9,27,5.158871816990807e-15
9,28,2.778903091451915e-30
9,29,5.3507282792065384e-30
9,30,5.2808835664662964e-30
9,31,4.484058858523592e-16
9,32,4.5008665593009526e-30
9,33,2.8302249812409013e-30
9,34,3.0037579661759534e-24
9,35,5.445686367458542e-30
9,36,6.215323303588618e-16
9,37,6.178179386956025e-16
9,38,3.0857830763362393e-15
9,39,4.076296293337569e-16
9,40,1.9335225352205114e-30
9,41,3.528000136660265e-30
9,42,2.6110439384482646e-30
9,43,5.112462885710303e-16
9,44,1.6679751916571404e-16
9,45,4.635058537903388e-16
9,46,4.920500133655823e-16
9,47,2.8568478981271823e-30
9,48,8.673565347712772e-16
9,49,3.9885847495930995e-30
10,11,2.638619332264189e-16
10,12,4.549680391834948e-30
10,13,2.038052989514865e-30
10,14,1.4615692735710685e-15
10,15,4.591716395578245e-16
10,16,3.190833629104339e-30
10,17,4.2956141875343924e-30
10,18,3.838047054083141e-30
10,19,2.9223583941986362e-30
10,20,4.16164170432388e-30
10,21,1.8155402773062844e-30
10,22,1.896690627355649e-30
10,23,3.243897923971304e-30
10,24,3.414005067204251e-30
10,25,4.932530021974364e-30
10,26,4.231916495934561e-16
10,27,3.769143361407224e-16
10,28,1.9228636076678227e-30
10,29,3.623089574908281e-30
10,30,3.6167665162414815e-30
10,31,1.5659663109408915e-16
10,32,3.0635602548068236e-30
10,33,1.9318751328316243e-30
10,34,5.927065919581166e-30
10,35,4.067466712320879e-30
10,36,8.522797628909347e-16
10,37,3.0232886443993955e-30
10,38,2.058061807704533e-15
10,39,3.480959483634684e-30
10,40,1.3672331522089811e-30
10,41,2.7491201054432453e-30
10,42,2.2775013070923722e-30
10,43,1.9745819057095224e-16
10,44,5.593858857355933e-30
10,45,6.945462861697828e-30
10,46,4.392354224164273e-30
10,47,2.2331614324358274e-30
10,48,6.19459990517028e-16
10,49,3.5103132907147575e-30
11,12,8.620766999682049e-16
11,13,5.125485313273802e-30
11,14,3.646373706856985e-15
11,15,9.445958244793997e-16
11,16,4.16684271159666e-16
11,17,5.674345542607415e-16
11,18,7.296949525491624e-16
11,19,9.868456837058678e-16
11,20,3.216123969880241e-16
11,21,4.195494266910194e-16
11,22,8.970735686356435e-16
11,23,6.039628560325068e-16
11,24,4.0194894309356374e-16
11,25,3.343116961225224e-16
11,26,7.595394812429331e-16
11,27,5.1180419099095195e-15
11,28,2.875251831438738e-16
11,29,8.687669755776739e-16
11,30,4.175759168140611e-16
11,31,8.779817483449947e-16
11,32,4.858949605497768e-30
11,33,3.2085252605294995e-30
11,34,7.525061994017374e-16
11,35,4.2938360722126357e-16
11,36,1.125975851189331e-15
11,37,7.110847550385515e-16
11,38,2.9731197686504224e-15
11,39,1.2894891044536962e-15
11,40,6.729654280381299e-16
11,41,5.721958498152746e-17
11,42,5.612602906615386e-16
11,43,6.786696458196319e-16
11,44,5.825081770780498e-16
11,45,8.0835597390550245e-16
11,46,4.133563972724176e-16
11,47,5.535704838525067e-16
11,48,1.1929136728453931e-15
11,49,5.180292593904008e-16
12,13,2.7023716363043665e-30
12,14,2.4556905885866655e-15
12,15,8.214434845810819e-16
12,16,3.639094276626215e-30
12,17,9.22302895764437e-16
12,18,5.991385135323584e-16
12,19,2.833353650295231e-16
12,20,3.924037879275095e-30
12,21,2.6960851581384187e-30
12,22,2.3629983189565487e-30
12,23,2.8165728643527584e-30
12,24,3.165996550893647e-30
12,25,5.036341385057876e-30
12,26,1.2749232248977043e-15
12,27,1.0821615126340942e-14
12,28,2.0183368382411475e-30
12,29,5.585420785729776e-16
12,30,2.561072115729883e-16
12,31,6.797836606733844e-16
12,32,3.211410449437979e-30
12,33,1.809027006088589e-30
12,34,3.3963312650856157e-23
12,35,5.5601986992623526e-30
12,36,1.1610135212288063e-15
12,37,3.8519504511351135e-16
12,38,1.7325024754940587e-15
12,39,4.457944161886308e-16
12,40,1.0621934221614112e-24
12,41,6.110267955341357e-16
12,42,3.41939930495636e-30
12,43,5.466884086775962e-16
12,44,7.174496663609358e-16
12,45,6.558109775377467e-16
12,46,5.465680804918184e-16
12,47,1.2586013583571598e-16
12,48,1.0436328222806586e-15
12,49,4.698475606012865e-30
13,14,1.1444968778578501e-15
13,15,3.055059563435023e-30
13,16,2.0882405914471683e-30
13,17,2.6702517759803884e-30
13,18,4.627549991034931e-30
13,19,3.930083847386514e-30
13,20,1.9796325445726623e-30
13,21,1.733612273176898e-30
13,22,1.4362929624716878e-30
13,23,1.6263302308421022e-30
13,24,1.700746841158559e-30
13,25,2.400466151552613e-30
13,26,4.663677629553406e-30
13,27,8.832000266127192e-27
13,28,2.3847196861638495e-30
13,29,2.2871778653088018e-30
13,30,2.8156635952220948e-30
13,31,4.9120425974134565e-30
13,32,1.796751571897318e-30
13,33,1.1114877308752968e-30
13,34,2.0606032024871464e-30
13,35,2.9690405843677612e-30
13,36,2.005288967396733e-15
13,37,2.3306926694423917e-30
13,38,6.826968921429996e-16
13,39,2.363278430718054e-30
13,40,1.4045171022880467e-30
13,41,2.7705484973426984e-30
13,42,1.8912761789417932e-30
13,43,1.798794468485151e-30
13,44,4.0984679346814274e-30
13,45,6.507207624351932e-30
13,46,4.797681377305889e-30
13,47,2.043352465713662e-30
13,48,7.543334881435057e-16
13,49,2.664574374766708e-30
14,15,2.531924848896259e-15
14,16,8.951509316447474e-16
14,17,1.7219196128497157e-15
14,18,2.3277332438939053e-15
14,19,1.5403883551760354e-15
14,20,1.30477500413031e-15
14,21,1.1791411984305433e-15
14,22,1.0333580446292392e-15
14,23,7.288482798152882e-16
14,24,9.92833333912208e-16
14,25,1.6636649321509216e-15
14,26,3.1283587354998393e-15
14,27,5.6037379559189695e-15
14,28,1.052487269512599e-15
14,29,1.927301545939579e-15
14,30,2.557202587343131e-15
14,31,3.936216596095808e-15
14,32,8.021553430725088e-16
14,33,5.392765368383785e-16
14,34,1.2326745327483412e-15
14,35,2.6008424214879635e-15
14,36,3.133538160003804e-15
14,37,2.0411202423614246e-15
14,38,3.517007214062781e-15
14,39,1.4110092199612797e-15
14,40,8.090881213897035e-16
14,41,1.4408961879437413e-15
14,42,1.6647419601971377e-15
14,43,1.4464019987451974e-15
14,44,3.0762377671756366e-15
14,45,4.205713215049712e-15
14,46,1.5162478188197021e-15
14,47,1.5928223966135592e-15
14,48,3.286087190367829e-15
14,49,2.2125424215255763e-15
15,16,7.056471515009957e-16
15,17,1.1053088458117503e-15
15,18,6.337394389925296e-16
15,19,6.6511943571528735e-16
15,20,4.2841699744536706e-16
15,21,5.155880084644674e-16
15,22,4.1430671964868683e-16
15,23,6.260405287861185e-16
15,24,9.416241376888927e-16
