cluster_id,n_samples,largest_sv,top_sv_fraction
0,30330,664.3270072057081,0.22083403057285608
1,48524,997.1930689275036,0.13842226288984633
2,26113,544.9535124266492,0.14939034634427037
3,24416,990.0752105917541,0.3482414562061024
4,32328,550.673073415138,0.25775426479196334
5,25222,839.752245490198,0.315173295043552
6,29593,655.3260473403664,0.1504242134146897
7,35524,522.6036780317154,0.13199569595504665
8,34940,1183.2436532932074,0.2758427286817724
9,33109,528.4150661201105,0.1995379737369092
10,26609,594.7063433426453,0.23778811733684285
11,27933,665.0551889183982,0.19002241113259366
12,39830,494.9459843521724,0.15762924259072061
13,31971,806.8341571365073,0.25861088591416903
14,34615,686.323571122643,0.15494020088793345
15,36307,733.2509266175191,0.08956687758977051
16,34452,787.591916278521,0.280530200054524
17,30653,398.90181567865704,0.2000640922193009
18,27067,714.6984334273166,0.2396887761974191
19,27446,1037.503377267075,0.268076107538893
20,35336,892.2991037327092,0.15703135854986666
21,31516,665.508579563265,0.2294148159290535
22,29309,538.5363108325462,0.10205038019713607
23,55207,967.8404480769461,0.17161437790605782
24,32350,481.20744281228474,0.19695704996087243
25,29477,479.2718911148502,0.16821934604483657
26,31216,703.9002493068808,0.25965531563641703
27,26514,674.4221556343286,0.21375816760968205
28,37122,688.5784945519741,0.18331415104699872
29,28640,868.9132391962056,0.22469549797397917
30,31088,592.3615412164891,0.2616090500848033
31,58566,895.1681361506801,0.21478626392928465
32,28614,537.1418330031802,0.24911815180357988
33,27839,481.8198886008237,0.1312900939080192
34,36082,1027.300449051316,0.2805013222435729
35,30000,645.9115390754938,0.17300146527644752
36,26221,641.6583651776659,0.2046860526754874
37,30576,449.4362203174619,0.09809980462748877
38,29646,574.7835246471968,0.2290853375263031
39,38414,497.80144073290217,0.2943670011703357
40,32931,510.01672472300686,0.17701289304629456
41,35212,713.3703295461723,0.15860787996337883
42,33252,689.3604431754746,0.2105970465200773
43,43476,610.2659154939947,0.1274546819852233
44,25193,478.8211287241465,0.13858420681962053
45,31760,493.07581288702306,0.08002177066333593
46,28391,689.6326475881978,0.13907144618735326
47,28925,658.2112756561493,0.1834107550509388
48,32427,421.44462546562926,0.17930505527312623
49,31407,602.4436300781149,0.11242891964871585
