cluster_id,dominant_sg_wyckoff,fraction
0,P1 | a,0.13628416306248275
1,I-4m2 | a b c d,0.3210284113645458
2,P4mm | a b,0.376732927455439
3,F-43m | a b c d,0.7411131343519911
4,Fm-3m | a b c,0.13216743119266056
5,R-3m | a c,0.23420705261172922
6,Pmmm | a d f g,0.48368976052035084
7,Cm | a,0.717093381493679
8,C2/m | a d i,0.6162185602775369
9,P4mm | a b,0.346828925813246
10,Pm | a b,0.353132099967543
11,F-43m | a c e,0.5451681739660603
12,C2/m | a d i,0.17349662427382634
13,I4/mmm | a b d,0.28877168845066115
14,Fmm2 | a,0.13442707438584436
15,Cmmm | a b f,0.2556934893274984
16,P3m1 | a b c,0.30343330166915455
17,P-3m1 | a d,0.03901619913077835
18,Cm | a,0.6647619047619048
19,F-43m | a b c d,0.6308407266582171
20,C2/m | a d i,0.42352141400407883
21,R-3m | a b c,0.568683682248351
22,Pm | a b,0.5413301425864991
23,P4mm | a b,0.325939617991374
24,P4mm | a b,0.3611962071480671
25,Cm | a,0.6052526462951867
26,Imm2 | a b,0.25491963346852936
27,P4/mmm | a c e,0.49136544030891344
28,P3m1 | a b c,0.2246831955922865
29,Cm | a,0.6824262415246473
30,F-43m | a c e,0.4944588370754174
31,F-43m | a b c d,0.7507474525596437
32,Fd-3m | c e f,0.13874514877102198
33,F-43m | a b c d,0.6428152983513264
34,P4/mmm | a c e,0.46796780240379315
35,F-43m | a c e,0.64367927265693
36,P2/m | a g n,0.31978319783197834
37,Pmmm | a d f g,0.22800936768149882
38,Imm2 | a b,0.2434657336900597
39,Imm2 | a b,0.26960596051924113
40,Pmm2 | a d,0.2814355571079287
41,R-3m | a b c,0.5770778053582127
42,Immm | a c j,0.2684633866081688
43,C2/m | a b f,0.3534236124356285
44,Fmmm | a i,0.06832671718994346
45,I4/mmm | a b d,0.34109800889232555
46,I4mm | a,0.4830273270708796
47,Pm | a b,0.5206812652068127
48,Cmmm | a b f,0.3996266198111135
49,I4/mmm | c d e,0.07079044474655273
50,F-43m | a c e,0.6124751161247511
51,F-43m | a b c d,0.6876908396946565
52,R-3m | a b c,0.41532976827094475
53,P4mm | a b,0.2632949345115985
54,C2/m | a d i,0.085764550652397
55,P-6m2 | a b h,0.18392518297641638
56,P4mm | a b,0.25378860540955306
57,Cmmm | a b f,0.4503397804495557
58,P2/m | a g n,0.3005513336313515
59,F-43m | a c e,0.6705611775528979
60,Cm | a,0.6483311374615722
61,P4/mmm | a c e,0.4708506539592416
62,P4/mmm | a b h,0.2736241415997679
63,R-3m | a b c,0.5680551332725245
64,P6/mmm | a d,0.08807382315150099
65,Cmmm | a b c d i j k l n r,0.08468550592525069
66,F-43m | a b c d,0.3255928045789043
67,I4/mmm | a b d,0.3337585353042695
68,I-4m2 | a b c d,0.5343083864944764
69,F-43m | a b c d,0.27495652173913043
70,Immm | a c j,0.21070563973818704
71,Fm-3m | a b c,0.2546153266520986
72,Immm | a c j,0.2017801344569643
73,P4/mmm | a c e,0.36915708812260534
74,Fm-3m | a b c,0.2596365088875574
75,C2/m | a d i,0.17866816101615765
76,F-43m | a b c d,0.6979386096900391
77,I-4m2 | a b c d,0.33685810587535525
78,R-3m | a b c,0.5597780393475702
79,R-3m | a b c,0.5648955420299391
80,Imm2 | a b,0.25319667140247615
81,P4mm | a b,0.19079418077748628
82,F-43m | a c e,0.6443995786516854
83,Pm-3m | a b d,0.11830006727965911
84,Cmmm | a b e h j,0.13924523601942956
85,P3m1 | a b c,0.4502622794468288
86,P6/mmm | c e g,0.058563091165224394
87,P4mm | a b,0.330305180979418
88,I4/mmm | a b d,0.3474231832222403
89,P4/mmm | a c e,0.5667826086956522
90,I4mm | a,0.4844894026974952
91,Pm | a b,0.2273728253688615
92,Cmmm | a b f,0.4103474038102353
93,C2/m | a d i,0.08439761600681141
94,P4mm | a b,0.18749464668094218
95,Cmmm | a b f,0.15239154616240266
96,I4mm | a,0.1767860089094209
97,Cm | a,0.2491651682507064
98,R-3m | a b c,0.5286618188686373
99,P2/m | a g n,0.2885135135135135
100,Pm | a b,0.5702532321829256
101,Pm | a b,0.23387605704909756
102,F-43m | a b c d,0.7342645133129637
103,F-43m | a b c d,0.7053897494018385
104,Cm | a,0.6968183298946683
105,C2/m | a d i,0.07975635290758543
106,Cm | a,0.10667431944899967
107,C2/m | a d i,0.15123725195667642
108,I4mm | a,0.3225872479787125
109,P3m1 | a b c,0.2815426997245179
110,F-43m | a b c d,0.6234756097560976
111,Cmm2 | a b,0.15423836838750796
112,I-4m2 | a b c d,0.5205202779124253
113,Fm-3m | a b c,0.2287505805852299
114,Imm2 | a b,0.2370972786987801
115,R-3m | a b c,0.5964895901409766
116,I4/mmm | a b d,0.4388703736186634
117,F-43m | a c e,0.48085145937906676
118,F-43m | a b c d,0.5121971118544505
119,Im-3m | a c,0.09651627641347801
