cluster_id,dominant_point_group,fraction,n_labeled,cluster_size
0,2/m,0.6940689053641518,4586,4588
1,mmm,0.33534844668345926,5955,5955
2,4mm,0.3949084788554597,4753,4753
3,6/mmm,0.3052534135616755,4321,4327
4,m-3m,0.9383339343671114,5546,5546
5,4mm,0.27469512195121953,6560,6560
6,-43m,0.9414207326115972,6743,6744
7,-43m,1.0,7125,7128
8,-3m,0.8767781622452903,5202,5205
9,mmm,0.3818847209515096,5465,5482
10,2/m,0.5917293233082707,5320,5320
11,3m,0.5195473251028807,4860,4860
12,4/mmm,0.32063854047890533,4385,4388
13,mm2,0.4832730560578662,4424,4424
14,mm2,0.8979096426163182,7415,7416
15,mm2,0.8868343195266272,5408,5408
16,4/mmm,0.7478640969600636,5033,5034
17,-3m,0.9581236520488857,5564,5566
18,2/m,0.3961713764813127,5485,5486
19,mm2,0.7323042692254207,7191,7193
20,4/mmm,0.5190392501464558,5121,5121
21,m-3m,0.6398489140698772,5295,5297
22,m,0.9273885350318471,4710,4711
23,mmm,0.8668019987507808,6404,6404
24,-43m,0.9998165474224913,5451,5452
25,-43m,0.9161013923598714,8403,8408
26,2/m,0.5481538858765814,3873,3873
27,-43m,1.0,6797,6797
28,mmm,0.6788772597526166,4204,4204
29,3m,0.8448343848580442,5072,5073
30,4/mmm,0.7423089646046973,6046,6050
31,2/m,0.48136922802638615,5609,5611
32,mmm,0.635273544841369,4003,4004
33,2/m,0.2587542609234583,6454,6590
34,2/m,0.4806173725771716,5572,5573
35,m,0.9892293407613741,5385,5385
36,mmm,0.5031913058478523,5797,5800
37,4/mmm,0.7380642361111112,4608,4609
38,-3m,0.8974626346889121,5754,5756
39,mm2,0.41659567217583915,5869,5869
40,4/mmm,0.908663436876603,7018,7019
41,m,0.47055416103494885,5179,5219
42,-43m,0.8914129940935939,6603,6603
43,mmm,0.510757717492984,5345,5348
44,2/m,0.3615717375630858,5548,5549
45,-43m,1.0,5364,5367
46,-43m,0.9416631008415347,7011,7012
47,-42m,0.43399574166075233,5636,5637
48,m,0.8737208795993904,4593,4595
49,-3m,0.7522196985339665,4843,4844
50,4/mmm,0.6614674868189807,4552,4552
51,m,0.8699551569506726,4460,4460
52,2/m,0.5989115002366304,4226,4226
53,mm2,0.8399852860033107,5437,5437
54,-43m,0.9163415691374079,6921,6926
55,4mm,0.478577429291515,7142,7142
56,-3m,0.9835919386481184,5607,5607
57,-43m,1.0,6905,6908
58,4/mmm,0.9054270666361346,4367,4367
59,-3m,0.840033153750518,4826,4826
60,2/m,0.5236371861569781,4421,4422
61,m-3m,0.6742424242424242,5280,5282
62,4mm,0.6049612847720103,6974,6974
63,mmm,0.8702143950995406,5224,5225
64,m,0.8510852090032154,4976,4978
65,4mm,0.5040752351097179,4785,4785
66,6/mmm,0.34384963920120826,5959,5983
67,2/m,0.884060552092609,5615,5616
68,6/mmm,0.27848101265822783,4898,4902
69,2/m,0.5907875796833231,4863,4864
70,mmm,0.4025211910454249,4601,4608
71,mm2,0.8763821944995747,7054,7055
72,2/m,0.6014189557940695,5497,5498
73,4/mmm,0.8541184842554705,5621,5621
74,-3m,0.8507337526205451,4770,4772
75,mm2,0.8801652892561983,5566,5566
76,-43m,0.9778960955146822,6198,6199
77,m,0.9554491899852725,5432,5432
78,4mm,0.5886643367269412,6581,6581
79,-43m,1.0,6467,6467
80,mmm,0.38040268456375836,3725,3727
81,-43m,0.9564483457123565,5924,5924
82,4mm,0.5650918093666185,4847,4847
83,4mm,0.5007337833871441,6814,6816
84,mmm,0.498038254046101,4078,4081
85,mm2,0.29865092748735245,5930,5931
86,-42m,0.6464959189417394,7106,7106
87,6/mmm,0.3208834037025008,3079,3081
88,m,0.9016195727084769,5804,5804
89,-43m,0.9340646516513011,8569,8570
90,m-3m,0.5408605255558764,3463,3467
91,mmm,0.6627998945425785,3793,3793
92,m-3m,0.9642502482621649,6042,6042
93,-43m,1.0,7841,7842
94,mmm,0.508792225821379,4322,4322
95,mm2,0.9633057851239669,6050,6050
96,4/mmm,0.6588260224623861,4719,4719
97,4/mmm,0.4262295081967213,5673,5674
98,m,0.9617294166321887,4834,4835
99,3m,0.8834315651604453,4581,4582
100,4/mmm,0.30678998420933906,4433,4441
101,-42m,0.8028317517698449,6639,6640
102,mmm,0.7718863246233073,5243,5243
103,2/m,0.7418971156705323,3363,3363
104,4mm,0.5040421792618629,5690,5692
105,-42m,0.8100211528291908,7564,7566
106,mmm,0.44774305555555555,5760,5760
107,4/mmm,0.3576184880532707,5106,5108
108,4mm,0.6689822294022617,6190,6190
109,4mm,0.33002207505518766,5436,5436
110,-3m,0.5662580268534735,3426,3430
111,-42m,0.8048306046360837,6169,6171
112,-3m,0.5770808909730364,3412,3414
113,4mm,0.5836789099526066,6752,6753
114,mmm,0.49875593757068537,4421,4422
115,4/mmm,0.8150298889837746,5855,5855
116,2/m,0.5006970722963553,5021,5022
117,mm2,0.9345879773433218,5473,5474
118,4/mmm,0.5676458419528341,4834,4834
119,4mm,0.4835084646818447,6852,6852
120,mm2,0.8668559973270965,5986,5986
121,4mm,0.5882152588555858,8808,8808
122,3m,0.970146263273893,4991,4991
123,2/m,0.5751065012039267,5399,5400
124,mmm,0.42051931602279924,4737,4738
125,-6m2,0.5127143701951508,5073,5073
126,-3m,0.977593673507814,5311,5311
127,-43m,1.0,5048,5048
128,4mm,0.519515843873249,7353,7354
129,m,0.8620067643742954,4435,4435
130,4/mmm,0.5997516556291391,4832,4833
131,mm2,0.8310762651461154,7015,7015
132,-43m,0.9998025666337611,5065,5065
133,6/mmm,0.37962003454231436,5790,5798
134,6/mmm,0.27073446327683615,4425,4426
135,-43m,0.9997895179962113,4751,4753
136,-43m,0.922234273318872,9220,9223
137,4/mmm,0.6099028227672374,4322,4323
138,mm2,0.9292763157894737,6080,6080
139,mmm,0.3401700850425213,5997,6050
140,mmm,0.8674484719260839,5628,5628
141,-43m,0.9089673913043478,5888,5888
142,m,0.9223899638528599,4703,4704
143,mmm,0.5942225231324757,4431,4433
144,-43m,0.9397459165154265,5510,5511
145,-3m,0.7548579970104634,4683,4684
146,4mm,0.3090597558363675,4669,4670
147,m,0.7295739864169583,4859,4859
148,m-3m,0.8602751504729149,6978,6978
149,m,0.9177330895795247,4923,4923
150,m,0.9465587044534413,3705,3705
151,2/m,0.5862869198312236,4740,4740
152,-3m,0.8170708420851632,5237,5237
153,-3m,0.6614583333333334,3072,3072
154,m-3m,0.7818050018122508,5518,5519
155,mm2,0.9198599852616065,5428,5429
156,-3m,0.4768611670020121,4473,4485
157,4/mmm,0.7448002641135688,6058,6060
158,mmm,0.28520877565463554,5652,5652
159,m,0.6833002551743691,3527,3527
160,-43m,0.9546348314606742,7120,7120
161,mm2,0.41350504698920987,5746,5747
162,m-3m,0.9388596615953363,7033,7034
163,4mm,0.28128609934539855,5194,5194
164,4/mmm,0.788433734939759,4150,4151
165,-42m,0.839463886820551,6715,6715
166,mmm,0.6472024033045437,5326,5327
167,-43m,0.9481539670070699,8911,8912
168,mmm,0.391008174386921,2936,2936
169,mmm,0.8281475376056048,4853,4855
170,3m,0.635261429653953,3959,3960
171,mm2,0.6635908252043238,3793,3799
172,mmm,0.4336388999601435,5018,5020
173,mm2,0.7361577181208053,4768,4769
174,-43m,1.0,5954,5954
175,m,0.9232171799027553,4936,4936
176,m,0.7815403675407805,4843,4843
177,mm2,0.8963840777879064,6582,6582
178,-6m2,0.24522569444444445,4608,4609
179,mm2,0.8436908245825443,5809,5809
180,2/m,0.33812535940195515,5217,5218
181,2/m,0.7691570881226054,3132,3132
182,-43m,1.0,7339,7340
183,m,0.9161334552102377,4376,4378
184,-43m,1.0,7113,7115
185,-43m,0.8477859778597786,4336,4336
186,mmm,0.36398136967396927,5797,5797
187,mmm,0.5738695201933034,5794,5819
188,m,0.8997745795040749,5767,5767
189,m,0.7533797623924621,4882,4882
190,6/mmm,0.34136340338288057,3902,3902
191,4mm,0.4710036669835665,7363,7365
192,-43m,1.0,7331,7334
193,-3m,0.9160890186063481,5482,5483
194,m,0.9010490501842926,3527,3527
195,mm2,0.9104104104104104,5994,5994
196,m-3m,0.9420385529442831,7574,7574
197,mmm,0.3581887812570399,4439,4440
198,4/mmm,0.6674468500097523,5127,5128
199,-3m,0.8338086595799844,3857,3858
200,-43m,0.8210312075983718,7370,7372
201,mmm,0.4077968709925622,3899,3899
202,m-3m,0.5904255319148937,4136,4139
203,4/mmm,0.5289099526066351,5275,5277
204,mmm,0.7355605889014722,5298,5298
205,-43m,0.9997881355932203,4720,4722
206,2/m,0.3107236684977311,4187,4190
207,4/mmm,0.7045913218970736,3964,3965
208,mm2,0.4333595594020456,6355,6356
209,4/mmm,0.47996755879967556,6165,6165
210,-6m2,0.33391800043850034,4561,4563
211,mm2,0.4028056112224449,5489,5491
212,4/mmm,0.397141782625047,5318,5319
213,-43m,0.9844783715012723,7860,7862
214,-6m2,0.45193748661956756,4671,4671
215,3m,0.8112850971922246,3704,3704
216,m,0.9055374592833876,3991,3992
217,3m,0.5166249553092599,2797,2798
218,mm2,0.8901249828320286,7281,7285
219,m-3m,0.923915737298637,8070,8070
220,-43m,1.0,7021,7022
221,4mm,0.37205998421468034,6335,6335
222,m-3m,0.967751523257542,6729,6729
223,4mm,0.5660932899426623,6453,6454
224,mmm,0.48716951788491447,5144,5144
225,2/m,0.45957215373459026,5516,5516
226,m,0.9264458169567659,5343,5347
227,-43m,0.9727219282774838,8505,8505
228,2/m,0.3859164653089403,5794,5795
229,m,0.9869290433783395,6962,6962
230,mmm,0.39384615384615385,4225,4227
231,mmm,0.843216896831844,4924,4925
232,mmm,0.8010272443054935,4478,4478
233,-43m,0.9741496598639455,5880,5880
234,3m,0.8917957835915672,3937,3937
235,mmm,0.3464775561097257,6416,6417
236,-42m,0.5803446669771775,6441,6443
237,m,0.878618486723897,5009,5009
238,4/mmm,0.36248168050806057,4094,4095
239,mm2,0.5759588600814227,4667,4667
240,m,0.5173864273696018,3566,3566
241,m,0.9385642737896495,5990,5990
242,-43m,1.0,7766,7769
243,2/m,0.6924578960214791,4097,4097
244,4/mmm,0.4314406523708849,6622,6623
245,4/mmm,0.5331978319783198,4428,4429
246,4/mmm,0.6547993705743509,5084,5084
247,6/mmm,0.3186918884257775,6238,6249
248,m-3m,0.5201393095093882,6604,6611
249,4mm,0.6786718200983837,5692,5693
250,mmm,0.6366067087992222,4114,4116
251,4/mmm,0.7381228273464658,6041,6043
252,2/m,0.5941915227629513,3822,3822
253,4/mmm,0.5474924890224174,4327,4327
254,mmm,0.6402611534276388,4595,4604
255,-43m,0.9037527593818985,6795,6798
256,4mm,0.4040084388185654,4740,4740
257,mmm,0.6205787781350482,5909,5914
258,-43m,0.7396449704142012,6422,6422
259,-42m,0.8198133524766691,6965,6965
260,mmm,0.4066065269302202,7538,7539
261,m-3m,0.9694616295906279,7597,7597
262,mmm,0.6428963247394405,5469,5470
263,6/mmm,0.1989562948467058,3066,3069
264,mm2,0.37517461584514067,5011,5011
265,3m,0.8177744585511576,4017,4020
266,6/mmm,0.33585640138408307,4624,4625
267,2/m,0.615112682280159,4526,4526
268,-3m,0.9078738770477365,5677,5678
269,4mm,0.5417553820676603,4227,4228
270,mmm,0.7993540573274122,4954,4955
271,-43m,1.0,6970,6971
272,-3m,0.9229905342531686,6233,6234
273,mmm,0.5574720574030634,7247,7248
274,mmm,0.781986531986532,4752,4753
275,m,0.9504452187379017,5166,5166
276,2/m,0.6180017226528854,4644,4645
277,2/m,0.5956873315363881,4452,4452
278,-3m,0.9140914709517923,4854,4854
279,-3m,0.9731689630166788,5516,5516
280,-3m,0.788604898828541,5634,5635
281,m-3m,0.9155782096208984,6278,6278
282,4/mmm,0.5431932773109244,5950,5951
283,mm2,0.3379897238278741,6228,6228
284,-43m,1.0,6896,6896
285,-43m,0.9998622020118506,7257,7258
286,2/m,0.5728881136307002,4013,4014
287,mmm,0.3671497584541063,3726,3727
288,mm2,0.7611359657654153,5141,5142
289,4/mmm,0.6900386847195358,4136,4136
290,mm2,0.5677723177723177,4884,4884
291,4/mmm,0.3450342465753425,4672,4672
292,-42m,0.6410693001872978,5873,5873
293,-43m,1.0,7270,7272
294,4/mmm,0.8771730914588057,5292,5293
295,4/mmm,0.3672425952045134,5672,5676
296,4/mmm,0.82757940422174,5069,5070
297,mmm,0.49517241379310345,4350,4353
298,2/m,0.7236418295039725,4657,4657
299,2/m,0.79602402153655,4829,4832
