cluster_id,dominant_spacegroup_symbol,fraction
0,Cm,0.39035087719298245
1,Cm,0.20090397893088477
2,F-43m,0.6305813187370128
3,Cmmm,0.08151806972033687
4,P4mm,0.16893930926567566
5,Pmmm,0.47378219050574
6,F-43m,0.9098002405326919
7,P4mm,0.1622842259843174
8,I-4m2,0.33655338968431947
9,F-43m,0.4840348600037085
10,I-4m2,0.30359824258939994
11,F-43m,0.9881576830249397
12,R-3m,0.8010049910026144
13,P2/m,0.16511226252158895
14,Pm,0.16025621748413676
15,Imm2,0.21534832217996244
16,I-43m,0.12572417012163312
17,R-3m,0.42961428765448867
18,P4/mmm,0.4239486714554711
19,Imm2,0.25116483219663716
20,Cmmm,0.37643099864735574
21,R-3m,0.8270935960591133
22,Pm-3m,0.1569653728547423
23,F-43m,0.899175687171815
24,P4mm,0.16227180527383367
25,I-4m2,0.3914910125436441
26,Cmmm,0.22002444716079564
27,P2/m,0.10487849442718801
28,F-43m,0.9413800776324572
29,P4/mmm,0.38422243019809704
30,I4/mmm,0.11124656055170493
31,I4/mmm,0.3974626952331185
32,Cm,0.40125667799902864
33,Pmmm,0.2060588273658123
34,Cm,0.2851868792472556
35,R-3m,0.2618852794370346
36,F-43m,0.6601053974059725
37,Cmm2,0.1604143019296254
38,P1,0.1713905441785898
39,P4mm,0.18031959629941127
40,Imm2,0.13734659604702235
41,P4mm,0.2776513215961351
42,I-4m2,0.2968533544429052
43,P4/mmm,0.31772271227526766
44,F-43m,0.987004148301789
45,F-43m,0.6060176213213994
46,R-3m,0.7071074498056418
47,Cmmm,0.2686935762697912
48,Cm,0.2110144415492647
49,P4mm,0.1282904298956752
