cluster_id,dominant_space_group_symbol,fraction
0,F-43m,0.9980369703909701
1,Immm,0.41100415251038125
2,P2/m,0.6231982748836682
3,I4/mmm,0.21672272945699184
4,Fm-3m,0.9523333666433497
5,I4mm,0.6742575419650194
6,Pmm2,0.4406335596046207
7,F-43m,0.984585926280517
8,Cm,0.9962256452106498
9,Cmmm,0.545655656419254
10,P6_3/mmc,0.22338769709683967
11,Immm,0.7699396250397204
12,P4/mmm,0.2606566057717765
13,Cm,0.933994034446262
14,R-3m,0.9742816453045153
15,P4mm,0.7550901120311739
16,I4/mmm,0.9585949585949586
17,Imm2,0.37007738607050733
18,Pmm2,0.5428192497158014
19,Imm2,0.512255247217918
20,P4/mmm,0.5121444695259594
21,R-3m,0.9134206497703691
22,C2/m,0.6432239533466795
23,F-43m,0.9858143759190382
24,F-43m,0.9981609451627285
25,Pm,0.5705104996379435
26,Pmmm,0.8001209555488358
27,Fm-3m,0.18019691621772246
28,Immm,0.48174392284223994
29,Cm,0.9813546823975561
30,Cm,0.9714285714285714
31,P4/mmm,0.6754665893047094
32,F-43m,0.9767826223831261
33,Pm,0.8772129620043483
34,I-43m,0.32789488882471846
35,Cmmm,0.5592017738359202
36,I4/mmm,0.9785770269093442
37,P4mm,0.48274691707206696
38,F-43m,0.9770417764395936
39,I-4m2,0.6450313758546408
40,Fm-3m,0.9684501845018451
41,C2/m,0.6269636771673177
42,P4/mmm,0.6072320685143333
43,Imm2,0.42666553365057786
44,C2/m,0.6098526500989664
45,P4/mmm,0.7824753559693318
46,P4/mmm,0.8380794013718562
47,Pm,0.8002215285469741
48,Imm2,0.41502166586422723
49,P4mm,0.7752856538298772
50,F-43m,0.9997353797300873
51,F-43m,0.9850856195912355
52,Pmmm,0.43865384615384617
53,R-3m,0.9203071495278614
54,P6_3/mmc,0.1799119855034947
55,Imm2,0.40993788819875776
56,Cm,0.9587888062964582
57,Cmm2,0.39263755934313954
58,F-43m,0.9962506248958507
59,Immm,0.33179279799730405
60,P3m1,0.8092493121970392
61,F-43m,0.9933678756476684
62,P-6m2,0.36109154929577464
63,Pmmm,0.6214052103304387
64,C2/m,0.5122063212673146
65,C2/m,0.6379719312117019
66,I-4m2,0.5443138961415723
67,Immm,0.3853171621766663
68,Imm2,0.41814579377528277
69,P6/mmm,0.2959116022099447
70,F-43m,0.932736008310609
71,Imm2,0.551064935064935
72,I4/mmm,0.5062424137333102
73,Imm2,0.38538975501113587
74,R3m,0.9643489254108724
75,P4mm,0.6962243142018423
76,P2/m,0.39759255881816524
77,P4mm,0.6148378498445135
78,Imm2,0.4454265949269792
79,F-43m,0.9987780806466773
80,Pm,0.8839827601372152
81,I-4m2,0.9138107043896748
82,P4/mmm,0.8348145285935085
83,Imm2,0.458774923657266
84,Fm-3m,0.9706142506142507
85,Immm,0.6118990277406119
86,Immm,0.5777737325930645
87,F-43m,0.9859300641423546
88,Pmm2,0.6179206405274932
89,Cm,0.2535756049293874
90,P3m1,0.8614441779909405
91,C2/m,0.4470252648736756
92,P4/mmm,0.6533627342888644
93,P4mm,0.7022166457549143
94,Fm-3m,0.9782608695652174
95,P2/m,0.5113952768897597
96,Imm2,0.3910942354159475
97,P2/m,0.9054592314901593
98,F-43m,0.9997021815203634
99,I4/mmm,0.5479138883596876
100,P2/m,0.7643786629581802
101,P4/mmm,0.9241254408540653
102,P6/mmm,0.17586618876941457
103,P4mm,0.8191431175934366
104,Cm,0.9480675122340957
105,P4mm,0.6315275214417544
106,Pmmm,0.48141349242771914
107,Cm,0.9616345467523197
108,R-3m,0.8394166882388472
109,C2/m,0.19661865998747652
110,Pmmm,0.404516194952488
111,F-43m,0.9889542275905913
112,Pm,0.7646009808292465
113,Pm,0.8300920117105813
114,F-43m,0.9994532104358694
115,I-4m2,0.9187056737588652
116,C2/m,0.16695669976456137
117,R3m,0.9196205691462805
118,P3m1,0.9384969577372143
119,Pmmm,0.6565386036202439
120,I4/mmm,0.5207908683245006
121,F-43m,0.965302178496135
122,C2/m,0.5692806837065759
123,I-4m2,0.781159699479869
124,I4/mmm,0.6622411046202867
125,R-3m,0.8268944440090902
126,R-3m,0.8838415452025395
127,R-3m,0.9780964109781843
128,F-43m,0.9991786822412849
129,C2/m,0.24552567676949366
130,Fm-3m,0.9674198633736206
131,F-43m,0.9883129123468426
132,F-43m,0.9975126853049447
133,Pmmm,0.4975344154509965
134,Cm,0.25573112291153993
135,I-4m2,0.6198260137505262
136,P2/m,0.5496055226824458
137,P4/mmm,0.7704337899543379
138,P6_3/mmc,0.12169545294324992
139,Immm,0.47884788478847884
140,F-43m,0.8298844628384204
141,F-43m,0.9992741525731291
142,P4mm,0.7285871964679912
143,I4mm,0.6634448800948299
144,Fm-3m,0.9396179213099841
145,C2/m,0.5593033730357322
146,F-43m,0.5700156985871272
147,Pm-3m,0.44900415845918146
148,R-3m,0.9253217144594184
149,Fm-3m,0.17866572786481252
