cluster_id,dominant_sg_wyckoff,fraction
0,F-43m | a b c d,0.80358587220275
1,Pmmm | a d f g,0.46080760095011875
2,P-3m1 | a d,0.10644677661169415
3,I4/mmm | a b d,0.5952660406885759
4,Imm2 | a b,0.2809291365090052
5,F-43m | a c e,0.665711268667974
6,C2/m | a d i,0.37327188940092165
7,F-43m | a b c d,0.7235905217695809
8,Pm | a b,0.47039305768249107
9,R-3m | a b c,0.7189189189189189
10,P4mm | a b,0.5336107554417413
11,Imm2 | a b,0.28438948995363217
12,F-43m | a c e,0.6367149758454106
13,Pmmm | a d f g,0.5051788157123315
14,I4/mmm | a b d,0.44201444622792935
15,Cm | a,0.8406779661016949
16,F-43m | a b c d,0.6868922598210813
17,Cm | a,0.8150089874176153
18,R-3m | a b c,0.6746650669866027
19,P6_3/mmc | b f h k,0.09167974882260596
20,I-4m2 | a b c d,0.7151256012827365
21,Imm2 | a b,0.20848708487084872
22,P2/m | a c n,0.24397356143079316
23,P2/m | a g n,0.5473311092577148
24,Immm | a c j,0.43169797556082434
25,Pmmm | a d f g,0.39918608953015167
26,Immm | a c j,0.4889188668336866
27,Fm-3m | a b c,0.18254465684738327
28,R-3m | a b c,0.7069712485230406
29,C2/m | a d i,0.47213177552193064
30,C2/m | i,0.08194162634618386
31,Fm-3m | a b c,0.6361538461538462
32,Pm | a b,0.6388888888888888
33,Cm | a,0.8036133270764899
34,I4mm | a,0.602633779264214
35,Fm-3m | a b c,0.15513065646908858
36,P-3m1 | a d,0.15637109642124458
37,C2/m | a d i,0.2941397445529677
38,Immm | a c j,0.47514298284205897
39,P4/mmm | a b h,0.4603174603174603
40,I4/mmm | a h i,0.0911353032659409
41,P4mm | a b,0.592635885447107
42,Imm2 | a b,0.2961691362486447
43,P6_3/mmc | b f h k,0.05751673767498478
44,P4/mmm | a c e,0.3808893093661306
45,F-43m | a b c d,0.57907824933687
46,F-43m | a c e,0.701123595505618
47,R3m | a,0.6939875212705615
48,P4/mmm | a b h,0.5308855291576674
49,Cmm2 | a b,0.32139869499749035
50,P3m1 | a b c,0.14689578713968957
51,Pmmm | a c t,0.3509717144506446
52,I-4m2 | a b c d,0.6238327243199351
53,F-43m | a c e,0.6419949174078781
54,P2/m | a c n,0.20065101139269936
55,P4mm | a b,0.5794547872340425
56,P4/mmm | a c e,0.6314704535043518
57,Cmcm | c,0.05767508507970625
58,Cmmm | a b f,0.4897414854329093
59,Pm | a b,0.5270851246775581
60,P4mm | a b,0.5988509631632308
61,R-3m | a b c,0.6974633465208285
62,I-4m2 | a b c d,0.6104803493449782
63,P4mm | a b,0.5390399074609601
64,R-3m | a b c,0.5921584478577203
65,P3m1 | a b c,0.5790373808942096
66,F-43m | a b c d,0.7810474689087405
67,I-4m2 | a b c d,0.36565201052236
68,F-43m | a b c d,0.6069958847736625
69,F-43m | a c e,0.6051251311254309
70,Cm | a,0.07770225243236038
71,F-43m | a b c d,0.6110585116455217
72,C2/m | a d i,0.4368643404787983
73,Pmm2 | a d,0.6222421524663677
74,Imm2 | a b,0.33111023930953315
75,P4/mmm | a c e,0.6817263544536272
76,P4mm | a b,0.5510204081632653
77,Im-3m | a c,0.08177791838025941
78,Cm | a,0.4239533651298357
79,Pm | a b,0.6635189824629023
80,Fm-3m | a b c,0.25126732004055424
81,Fd-3m | c e f,0.15279241306638566
82,I4/mmm | a b d,0.6692484823110739
83,Pmmm | a c t,0.3385248836376656
84,R-3m | a b c,0.6162140575079872
85,Immm | a c j,0.4921118680530656
86,Cmmm | a b f,0.40986159169550174
87,R3m | a,0.6882666666666667
88,P2/m | a g n,0.22485817431665808
89,Pm | a b,0.603448275862069
90,Cmm2 | a b,0.3435088321042703
91,P4/mmm | a b h,0.3036348729160973
92,Pm | a b,0.4634383508362505
93,Imm2 | a b,0.33216476774758985
94,F-43m | a b c d,0.7451577801958651
95,R-3m | a b c,0.725939979303208
96,P2/m | a g n,0.22482621648460774
97,C2/m | a d i,0.34367980396160913
98,C2/m | a d i,0.34058876003568245
99,Imm2 | a b,0.3091053257565746
100,C2/m | a d i,0.41905925473427
101,Pmmm | a d f g,0.26471163245356794
102,Pm | a b,0.5222551928783383
103,Pm-3m | a b d,0.22380952380952382
104,Imm2 | a b,0.29809017523134473
105,F-43m | a b c d,0.5795488275452657
106,C2/m | a d i,0.5210960232783706
107,F-43m | a c e,0.6533662217063262
108,F-43m | a b c d,0.77140625
109,Cm | a,0.8078245915735167
110,Cmcm | c,0.0781633368384157
111,F-43m | a b c d,0.7304312559145599
112,C2/m | i,0.10319373305212413
113,I4/mmm | a b d,0.6613841524573721
114,P3m1 | a b c,0.5449705799943962
115,P4/mmm | a b h,0.5512174643157011
116,P3m1 | a b c,0.7008642319487036
117,Pmmm | a c t,0.24100796898556967
118,F-43m | a b c d,0.5684962070504239
119,I-43m | a c g,0.20950407872588372
120,I4/mmm | a e,0.08782435129740519
121,F-43m | a b c d,0.5389859394972305
122,Amm2 | a b,0.17810355583281348
123,C2/m | a d i,0.35813751087902523
124,F-43m | a c e,0.6668064876957495
125,Fm-3m | a b c,0.2898782192054302
126,Immm | a c j,0.48494307748806464
127,P4mm | a b,0.5570082091821222
128,F-43m | a b c d,0.7080215504340018
129,P4/mmm | a b h,0.45012285012285014
130,R-3m | a b c,0.6873580620741863
131,Pmmm | a d f g,0.6512201133842741
132,F-43m | a b c d,0.6461810824481538
133,Cmm2 | a b,0.23257014976760199
134,I4mm | a,0.5883211678832116
135,I4mm | a,0.47169429842296806
136,Cmmm | a b f,0.40028374543980544
137,P4/mmm | a d,0.1112585711125857
138,I-4m2 | a b c d,0.5570469798657718
139,I4/mmm | a b d,0.6954091816367265
140,R-3m | a b c,0.6786565547128928
141,Cm | a,0.8307611823175517
142,Fm-3m | a b c,0.5659649122807018
143,Cmm2 | a b,0.217978940751218
144,Pmm2 | a d,0.4969376979936642
145,Fm-3m | a b c,0.0910577971646674
146,F-43m | a c e,0.5979575805184604
147,Pm | a b,0.626776627478505
148,Pm | a b,0.6610204935173567
149,R3m | a,0.6064370412196499
150,Cm | a,0.8336534767575874
151,R-3m | a b c,0.6930058729311266
152,P4mm | a b,0.4798657718120805
153,Immm | a c j,0.5172632916754925
154,I-4m2 | a b c d,0.6838501046224083
155,F-43m | a b c d,0.6593331511341897
156,I-4m2 | a b c d,0.6803446860894542
157,Pmmm | a d f g,0.18388087922476956
158,Immm | a c j,0.3960726968874034
159,Immm | a c j,0.38805672059117235
160,R-3m | a b c,0.7156366835276006
161,I-4m2 | a b c d,0.6332688588007737
162,Cmmm | a b f,0.44418052256532065
163,P4/mmm | a c e,0.6344868265827762
164,Pmm2 | a d,0.46318342151675485
165,Cmmm | a b c d i j k l n r,0.2559456398640997
166,Immm | a c j,0.3380172946263125
167,P4/mmm | a c e,0.5100794135613927
168,P4mm | a b,0.3360744427613071
169,Cm | a,0.21025277580911883
170,P-3m1 | a d,0.0862956033676333
171,Fm-3m | a b c,0.13814593612048817
172,P4/mmm | a c e,0.6465263157894737
173,Pm | a b,0.39488256635478325
174,P2/m | a g n,0.3793529775396662
175,Immm | a c j,0.4072154260833506
176,Imm2 | a b,0.3152871768176297
177,Cm | a,0.8449939686369119
178,R-3m | a e,0.2582005623242737
179,Pmmm | a d f g,0.6440233823825842
180,Cm | a,0.7570826952526799
181,P4mm | a b,0.5990872388976655
182,C2/m | a d i,0.26548967355096603
183,I4/mmm | a b d,0.6583941605839416
184,Imm2 | a b,0.2576374745417515
185,Cm | a,0.854640628145762
186,R-3m | a b c,0.7009413468501087
187,P4mm | a b,0.5747663551401869
188,Fm-3m | a b c,0.5257093723129836
189,C2/m | a d i,0.7233944247651317
190,Imm2 | a b,0.3198773633111906
191,Imm2 | a b,0.34401114206128136
192,Cm | a,0.8285860918655376
193,P4/mmm | a b h,0.4649545211342964
194,Pm | a b,0.6088003502626971
195,P4/mmm | a c e,0.42469664525339046
196,P-6m2 | a b h,0.20754716981132076
197,Immm | a c j,0.13833333333333334
198,I4mm | a,0.5856070316791796
199,Pmmm | a d f g,0.22951807228915663
200,R-3m | a b c,0.3240645382766907
201,Cm | a,0.8445692883895131
202,I4/mmm | a e,0.10481400437636762
203,I4/mmm | a b d,0.5921938088829072
204,Cmm2 | a b,0.244723774053383
205,P4/mmm | a c e,0.6272603538790589
206,Immm | a c j,0.38905056384139686
207,P-3m1 | a d,0.0913081650570676
208,Pm | a b,0.3295650507760107
209,I-4m2 | a b c d,0.6805044666316342
210,I4mm | a,0.6066100094428706
211,P4mm | a b,0.4496478202931658
212,F-43m | a c e,0.6495519240906695
213,F-43m | a b c d,0.684375
214,I4/mmm | a b d,0.39955938313639094
