cluster_id,dominant_space_group_symbol,fraction,n_labeled,cluster_size
0,F-43m,0.9995954692556634,7416,7418
1,Pmmm,0.73585313174946,4630,4631
2,P6/mmm,0.33120899718837865,5335,5336
3,I4/mmm,0.9571512424183134,5111,5112
4,Imm2,0.39141414141414144,5940,5941
5,F-43m,0.9929099411675969,6629,6629
6,C2/m,0.7451783580815838,5859,5859
7,F-43m,0.9990657479855191,8563,8567
8,Pm,0.6687946884576098,3916,3918
9,R-3m,0.9660467128027682,4624,4625
10,P4mm,0.7371959026888605,6248,6248
11,Imm2,0.47271603029834597,6469,6470
12,F-43m,0.9560280260932592,8278,8280
13,Pmmm,0.9378542114520226,5117,5117
14,I4/mmm,0.6413806943608268,4983,4984
15,Cm,0.9877938517179023,4424,4425
16,F-43m,0.9994813950473227,7713,7713
17,Cm,0.9577464788732394,6674,6676
18,R-3m,0.9914017196560688,5001,5001
19,P6_3/mmc,0.35387517685898445,6361,6370
20,I-4m2,0.9600855310049893,5612,5613
21,Imm2,0.4907749077490775,5420,5420
22,P2/m,0.46975296634895936,5141,5144
23,P2/m,0.9395203336809176,4795,4796
24,Immm,0.5863578333029363,5483,5483
25,Pmmm,0.6944290209143069,5403,5406
26,Immm,0.6763685427910563,5188,5189
27,Fm-3m,0.9685051707928549,6382,6382
28,R-3m,0.9954679802955665,5075,5078
29,C2/m,0.7307029304730894,5221,5221
30,C2/m,0.18391881342701014,6405,6407
31,Fm-3m,0.9475,5200,5200
32,Pm,0.8505865404404198,4859,4860
33,Cm,0.9645623093170618,4261,4262
34,I4mm,0.734685343926406,4783,4784
35,Fm-3m,0.967240280433397,7845,7845
36,P-3m1,0.32071167883211676,4384,4387
37,C2/m,0.5657400450788881,5324,5324
38,Immm,0.6608714788732394,4544,4546
39,P4/mmm,0.745730093817657,4157,4158
40,Fm-3m,0.21926548397136633,6426,6430
41,P4mm,0.8217416715371128,5133,5133
42,Imm2,0.45291885053316466,5533,5534
43,P6_3/mmc,0.24352726165092903,6566,6572
44,P4/mmm,0.8071901608325449,5285,5285
45,F-43m,0.9819267119880617,6031,6032
46,F-43m,0.9804747857845203,7119,7120
47,R3m,0.9849688031764039,3526,3526
48,P4/mmm,0.7751134154244977,4629,4630
49,Cmm2,0.43155957161981257,5976,5977
50,P2/m,0.31626617375231053,5410,5412
51,Pmmm,0.7408120069270733,5197,5197
52,I-4m2,0.8317092976045473,4926,4926
53,F-43m,0.9753733714648872,6294,6296
54,P2/m,0.4882530821121191,4299,4301
55,P4mm,0.792220744680851,6016,6016
56,P4/mmm,0.8490609253321117,4366,4366
57,Cmmm,0.16597956623050725,5579,5583
58,Cmmm,0.6510053344275749,4874,4874
59,Pm,0.7596215867555365,4651,4652
60,P4mm,0.8135879668751056,5917,5918
61,R-3m,0.9294692737430168,4296,4297
62,I-4m2,0.8583158630328441,5724,5725
63,P4mm,0.7449392712550608,6916,6916
64,R-3m,0.9073999191265669,4946,4948
65,P3m1,0.8000977517106549,4092,4093
66,F-43m,0.9975468722621342,5707,5709
67,I4/mmm,0.5103344607290492,5322,5322
68,F-43m,0.9973812196034418,5346,5346
69,F-43m,0.8985898589858986,6666,6673
70,Cm,0.1019665948275862,7424,7503
71,F-43m,0.9979166666666667,5280,5281
72,C2/m,0.6543035993740219,6390,6391
73,Pmm2,0.8918385650224215,5575,5575
74,Imm2,0.45802275402118475,5098,5098
75,P4/mmm,0.9250413374977035,5443,5445
76,P4mm,0.7893004115226337,6075,6076
77,Fm-3m,0.2311589613679544,6316,6322
78,Cm,0.5720350225524011,3769,3774
79,Pm,0.8928502601657352,5189,5189
80,Fm-3m,0.9651909428861102,5918,5918
81,Fd-3m,0.36953901777643866,6638,6643
82,I4/mmm,0.989321608040201,4776,4777
83,Pmmm,0.5799749238760523,5583,5586
84,R-3m,0.911905713144227,5006,5008
85,Immm,0.6557906059519542,5578,5578
86,Cmmm,0.5482698961937716,5780,5780
87,R3m,0.9301146972526007,3749,3750
88,P2/m,0.45149638802889575,5814,5817
89,Pm,0.8610547667342799,4930,4930
90,Cmm2,0.4800205796604356,5831,5831
91,P4/mmm,0.8226291336430719,3659,3659
92,Pm,0.662777129521587,5142,5142
93,Imm2,0.5194089656899574,7986,7987
94,F-43m,1.0,9189,9190
95,R-3m,0.9920634920634921,5796,5798
96,P2/m,0.5382323733862959,5035,5035
97,C2/m,0.5747549019607843,4896,4897
98,C2/m,0.7121185079421738,5603,5605
99,Imm2,0.45288753799392095,7567,7567
100,C2/m,0.7267358990022399,4911,4911
101,Pmmm,0.4868035190615836,5115,5115
102,Pm,0.698601102161933,4718,4718
103,Pm-3m,0.7102242627582553,5663,5670
104,Imm2,0.5254037022449783,5078,5079
105,F-43m,0.9913921044820422,6738,6738
106,C2/m,0.784917555771096,4124,4124
107,F-43m,0.9801189957916122,6891,6892
108,F-43m,0.9993749023284888,6399,6400
109,Cm,0.9604386153515373,4651,4652
110,Cmcm,0.1787092248333918,5702,5706
111,F-43m,0.999594430174395,7397,7397
112,C2/m,0.26054852320675104,6636,6638
113,I4/mmm,0.9019057171514544,4985,4985
114,P3m1,0.7663210983468759,3569,3569
115,P4/mmm,0.8455079764903443,4764,4764
116,P3m1,0.9701700585447449,3587,3587
117,Pmmm,0.5016153349127719,4643,4643
118,F-43m,0.9754537340077358,6722,6723
119,I-43m,0.35989082401871586,7694,7723
120,I4/mmm,0.28023276959447174,5499,5511
121,F-43m,0.9863655730720068,7041,7041
122,Imm2,0.3165938864628821,6412,6412
123,C2/m,0.5315629081410536,4594,4596
124,F-43m,0.968400447427293,7152,7152
125,F-43m,0.52935303514377,5008,5009
126,Immm,0.6525252525252525,5445,5446
127,P4mm,0.7822715523795043,6577,6578
128,F-43m,1.0,6682,6682
129,P4/mmm,0.6962398623740477,4069,4070
130,R-3m,0.9996214988644966,5284,5284
131,Pmmm,0.9548927779147153,4057,4057
132,F-43m,1.0,7906,7908
133,Imm2,0.4227922189705629,5809,5809
134,I4mm,0.7100542344597414,4794,4795
135,I4mm,0.5717175804167509,4943,4946
136,Cmmm,0.5456019456830158,4934,4934
137,Pm-3m,0.29902611775121735,4518,4521
138,I-4m2,0.7590900615327242,5363,5364
