cluster_id,dominant_point_group,fraction
0,-43m,0.9989562915255963
1,mm2,0.6716046202069647
2,m,0.6030160380973233
3,m-3m,0.9285447317454385
4,mmm,0.4194217324327527
5,mm2,0.49835456923466376
6,-3m,0.3096983758700696
7,-3m,0.5535015678662087
8,4mm,0.3039919586444572
9,-42m,0.511840706253826
10,-43m,0.6560718734664603
11,mm2,0.44816775010067306
12,-43m,0.9976507867132867
13,2/m,0.5578359256555674
14,-43m,0.9666778523489933
15,4mm,0.424187774218729
16,-3m,0.664970992540939
17,m,0.43727485306199837
18,2/m,0.2080594455558731
19,4/mmm,0.4365405342421859
20,-6m2,0.20616775222650538
21,mmm,0.3987615726824576
22,4/mmm,0.4353980159690298
23,m-3m,0.20041281209589176
24,2/m,0.5748502994011976
25,m-3m,0.21862560234653258
26,m,0.39745881752011236
27,mmm,0.32247252083584976
28,-43m,0.9729948310418791
29,-43m,0.9981283347766573
30,-3m,0.5279622251733805
31,mm2,0.5305271352313167
32,-42m,0.38723266364225534
33,m,0.6067443767155029
34,4/mmm,0.37837273161413565
35,-42m,0.4781986668834336
36,mmm,0.4169690632880251
37,4/mmm,0.5057705112081083
38,-43m,0.9977212727525357
39,m,0.3762718078768065
40,-43m,0.9872463383041615
41,mm2,0.5006972378653795
42,-43m,0.5534533577630846
43,m,0.24685197588747487
44,m-3m,0.8489540885628906
45,4mm,0.5278900308651796
46,-3m,0.4380369803976088
47,4mm,0.4622609423645449
48,2/m,0.26532647153425537
49,mm2,0.6233047409296395
